name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,4.3136,13.4138,0,37,2.2295,12.0296
codeco_pod2,3.297,7.2937,17,48,2.9314,4.5947
codeco_pod3,8.4564,10.7643,21,53,6.7525,7.2381
codeco_pod4,2.0365,7.6899,26,62,1.1913,5.9345
codeco_pod5,5.9869,8.3968,28,22,3.0704,7.4307
codeco_pod6,10.4865,3.4601,46,13,9.5566,2.8743
codeco_pod7,13.7956,1.687,63,8,12.2086,1.0959
codeco_pod8,7.6108,18.3646,69,83,6.1281,15.5612
codeco_pod9,3.3614,18.3598,86,70,2.2946,9.5514
codeco_pod10,2.5803,13.737,100,49,2.4164,12.1976
codeco_pod11,10.43,6.8177,117,20,5.9301,4.6742
codeco_pod12,9.4535,18.7635,127,71,4.8458,17.7323
codeco_pod13,1.3728,9.3776,142,69,1.1885,7.4221
codeco_pod14,9.7793,4.8344,153,74,7.0567,3.2793
codeco_pod15,13.3997,6.0713,154,37,10.588,3.283
codeco_pod16,10.0393,13.9837,166,91,8.4837,12.8482
codeco_pod17,12.3872,2.5527,173,17,11.161,2.2471
codeco_pod18,1.9161,14.4958,187,64,1.2488,13.3159
codeco_pod19,7.5538,17.636,202,87,5.2665,16.5056
codeco_pod20,5.6276,11.6122,207,48,4.1083,10.3508
codeco_pod21,6.451,11.9199,227,81,5.4746,11.7851
codeco_pod22,10.9849,7.696,238,31,9.399,5.903
codeco_pod23,4.3177,10.6007,256,52,2.4835,10.4896
codeco_pod24,11.3249,8.3231,259,81,10.0059,8.2386
codeco_pod25,8.0134,10.8933,276,84,7.1494,5.5964
codeco_pod26,9.1724,18.4994,277,44,6.974,14.0531
codeco_pod27,1.1073,5.8625,297,38,0.7371,4.2294
codeco_pod28,1.281,4.9513,314,26,1.1785,4.3596
codeco_pod29,2.7149,11.5447,322,37,2.3251,11.1902
codeco_pod30,5.6414,6.0201,325,8,2.9843,3.6152
codeco_pod31,10.1381,12.0519,343,28,7.739,9.3676
codeco_pod32,14.1187,1.4819,355,91,11.9936,1.1142
codeco_pod33,4.1371,13.9502,365,65,2.7857,13.2984
codeco_pod34,9.8034,17.655,369,59,6.104,17.3823
codeco_pod35,6.023,11.137,385,41,5.8123,8.1329
codeco_pod36,7.6205,17.2273,400,10,6.0741,14.6931
codeco_pod37,2.185,14.2797,401,77,1.7467,12.351
codeco_pod38,8.8738,8.6217,416,13,5.7721,5.782
codeco_pod39,6.6288,10.0249,424,49,3.7055,8.3451
codeco_pod40,12.9723,10.7811,442,78,7.5804,7.9954
codeco_pod41,12.9362,10.4587,453,67,10.3587,5.4031
codeco_pod42,4.9889,12.4561,467,26,3.1922,10.3503
codeco_pod43,3.8827,9.9073,482,86,3.334,7.3396
codeco_pod44,12.9804,7.269,493,12,7.8753,4.9417
codeco_pod45,7.7884,2.7449,508,59,5.1112,2.5967
codeco_pod46,2.0858,14.4374,524,28,1.5238,11.0319
codeco_pod47,7.6307,4.5118,536,64,7.0347,2.4585
codeco_pod48,7.3303,15.5165,538,83,5.8605,12.7022
codeco_pod49,6.0982,18.8233,547,71,4.2224,12.9085
codeco_pod50,11.2415,15.8786,565,19,7.9254,14.3686
codeco_pod51,3.6345,9.202,569,39,3.0766,7.0595
codeco_pod52,4.6978,18.5058,581,36,2.9228,11.98
codeco_pod53,9.2791,5.1302,592,40,6.9601,3.6182
codeco_pod54,1.0742,4.0504,604,28,0.5547,3.3373
codeco_pod55,1.1052,1.056,621,75,0.8286,0.908
codeco_pod56,3.2964,11.5726,637,69,2.1708,9.6333
codeco_pod57,7.2346,15.6141,653,54,6.6856,8.6207
codeco_pod58,3.6087,3.6027,665,90,3.2396,3.5171
codeco_pod59,11.5755,17.2616,676,89,7.6915,16.616
codeco_pod60,4.0688,12.8558,691,22,3.5018,10.1186
codeco_pod61,13.6985,5.837,699,68,9.9842,5.4406
codeco_pod62,2.1643,10.1607,714,10,1.6907,8.3275
codeco_pod63,14.9743,8.5271,716,77,10.686,5.3864
codeco_pod64,12.5446,16.2413,729,60,6.2972,10.4359
codeco_pod65,10.9812,13.2342,730,76,6.6573,12.2472
codeco_pod66,9.2168,17.0441,745,78,8.5271,13.9069
codeco_pod67,12.8037,15.4425,760,85,12.44,13.0741
codeco_pod68,3.1503,6.6127,774,66,2.7998,4.5202
codeco_pod69,1.1958,17.2919,777,30,0.7987,16.5434
codeco_pod70,2.9034,17.1044,785,31,1.9993,13.0778
codeco_pod71,2.4072,4.2445,791,94,1.7219,3.9539
