name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,7.2037,2.0276,0,59,3.6594,1.6121
codeco_pod2,2.6423,9.4401,16,30,2.4389,8.1435
codeco_pod3,14.1942,10.6261,35,22,8.908,5.6025
codeco_pod4,4.2797,19.4247,44,15,2.8302,10.0805
codeco_pod5,7.833,14.7776,56,22,4.7127,13.9259
codeco_pod6,13.1102,10.5138,67,78,8.7713,5.4453
codeco_pod7,10.1819,9.2354,75,92,8.9149,8.5752
codeco_pod8,7.9655,15.9432,88,37,6.1032,13.3235
codeco_pod9,11.8523,7.194,94,30,6.2118,3.7562
codeco_pod10,13.2177,18.0019,102,19,7.4449,15.2649
codeco_pod11,3.0503,16.6454,120,66,2.1388,12.5882
codeco_pod12,7.1674,11.7668,135,14,6.8199,7.2893
codeco_pod13,11.6382,2.0372,154,50,11.1231,1.9372
codeco_pod14,12.1915,15.9213,168,5,9.2469,12.737
codeco_pod15,3.7047,6.2948,188,56,2.8639,3.7798
codeco_pod16,9.1174,5.4979,194,49,4.99,4.4857
codeco_pod17,1.5096,8.5284,213,46,1.0908,6.5787
codeco_pod18,8.5457,16.5747,219,98,4.9069,8.5323
codeco_pod19,6.5929,1.3051,223,95,6.5186,0.7814
codeco_pod20,3.7208,14.8739,242,25,2.1397,10.8269
codeco_pod21,9.3042,17.5376,259,93,8.7768,15.276
codeco_pod22,1.2786,9.7014,271,76,1.0781,6.0434
codeco_pod23,13.3254,10.7052,290,49,9.5259,8.0683
codeco_pod24,8.725,8.2357,302,100,6.9177,4.2212
codeco_pod25,4.251,17.104,316,59,2.2923,16.4563
codeco_pod26,1.3085,12.5064,326,97,0.8485,7.4357
codeco_pod27,11.8834,17.8092,340,45,9.9295,13.6975
codeco_pod28,6.1884,1.5904,353,87,3.3104,1.4391
codeco_pod29,3.0331,14.6171,361,61,1.8679,14.3758
codeco_pod30,14.22,17.6774,367,7,10.5906,17.1179
codeco_pod31,1.9106,14.0071,368,99,1.7269,13.1694
codeco_pod32,13.62,16.2219,372,17,9.121,14.2907
codeco_pod33,7.0149,13.0045,387,50,6.8761,6.6745
codeco_pod34,8.657,11.9382,405,52,7.9157,9.8246
codeco_pod35,2.0408,3.7041,413,72,1.7356,2.5445
codeco_pod36,6.2282,8.7649,426,46,3.1217,4.7254
codeco_pod37,10.4739,18.8336,441,35,9.8471,15.758
codeco_pod38,1.1181,15.4141,452,14,1.0144,9.362
codeco_pod39,9.47,15.159,465,27,7.5359,8.2811
codeco_pod40,14.6242,12.8956,484,11,13.1809,12.6695
codeco_pod41,7.1293,1.4703,486,30,6.1123,0.9685
codeco_pod42,2.0962,5.6433,492,75,1.7919,3.3889
codeco_pod43,5.7309,14.5409,507,23,4.8442,11.529
codeco_pod44,5.2587,15.5687,522,54,2.88,12.4378
codeco_pod45,3.3178,18.979,540,39,2.9944,17.5091
codeco_pod46,13.9055,18.7707,558,29,12.2474,18.4061
codeco_pod47,6.6778,5.2376,565,16,4.4989,3.3449
codeco_pod48,11.3427,10.5233,570,86,10.1409,9.6705
codeco_pod49,2.2194,3.522,577,67,1.9486,1.7993
codeco_pod50,11.2235,12.9016,578,83,7.4744,6.4962
codeco_pod51,12.1262,5.8448,593,82,6.3367,4.8272
codeco_pod52,10.2567,18.9632,599,30,10.1268,17.5564
codeco_pod53,2.03,11.2542,613,5,1.3717,10.2886
codeco_pod54,4.9363,18.1374,629,96,3.676,10.7799
codeco_pod55,7.9709,10.5668,648,48,4.0183,6.2935
codeco_pod56,1.1778,1.2099,659,70,0.8145,1.1028
codeco_pod57,14.1781,13.7024,670,76,10.4873,11.2911
codeco_pod58,9.3917,11.8157,674,39,8.6487,5.9847
codeco_pod59,12.4205,13.1226,677,82,10.8088,6.6533
codeco_pod60,11.6954,15.1709,693,42,8.7683,14.929
codeco_pod61,6.3593,8.859,696,98,3.5935,4.5409
codeco_pod62,12.523,15.0381,708,45,9.0592,8.2658
codeco_pod63,2.5437,16.0107,713,17,2.1371,13.1292
codeco_pod64,7.0231,7.1033,725,37,5.3372,6.2306
codeco_pod65,3.3806,8.1968,738,39,2.3461,7.289
codeco_pod66,1.4781,14.014,751,64,1.0378,9.5816
codeco_pod67,5.3041,14.5718,759,31,3.0576,8.5044
codeco_pod68,13.8335,10.2188,778,76,10.8265,8.0872
codeco_pod69,7.7132,13.4092,789,55,4.165,8.7823
codeco_pod70,9.201,10.3236,800,95,5.3249,5.4774
codeco_pod71,8.084,10.1805,814,22,6.9169,5.2827
codeco_pod72,14.5535,8.5548,827,5,11.9512,7.9479
codeco_pod73,12.1536,18.8212,844,78,8.079,15.3354
codeco_pod74,6.6356,18.0969,855,71,4.2309,17.4735
codeco_pod75,4.726,5.105,871,39,4.1882,2.989
codeco_pod76,6.6351,6.1815,884,94,4.6687,3.1764
codeco_pod77,6.6077,10.4863,904,89,4.0345,9.8683
