name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,4.0591,11.0312,0,7,2.9806,6.6881
codeco_pod2,11.419,8.6298,12,67,7.1876,4.4959
codeco_pod3,1.1937,10.9052,19,16,0.9939,8.3023
codeco_pod4,6.5021,11.4479,36,18,3.3647,10.6603
codeco_pod5,8.8693,10.9578,42,29,5.6957,8.7691
codeco_pod6,4.221,15.3311,45,67,3.9844,11.5019
codeco_pod7,1.7139,18.3479,63,89,1.0439,16.8074
codeco_pod8,3.5408,2.3991,66,92,2.2994,1.7141
codeco_pod9,9.6926,5.4343,83,70,6.7125,4.3927
codeco_pod10,12.4156,14.161,85,30,7.0632,13.4129
codeco_pod11,10.9917,19.1327,94,78,9.7335,16.9907
codeco_pod12,1.0588,5.9929,105,13,0.9024,5.2803
codeco_pod13,5.4741,7.8158,114,44,5.3832,5.4734
codeco_pod14,13.1977,6.2502,132,53,6.6424,3.4808
codeco_pod15,4.8078,9.9301,133,96,3.9614,6.4705
codeco_pod16,10.1606,11.0349,153,6,6.6087,10.0732
codeco_pod17,13.0627,6.2494,166,63,10.637,5.6241
codeco_pod18,5.5885,11.3528,184,50,4.7659,10.4562
codeco_pod19,8.6384,11.4353,196,75,8.342,7.4745
codeco_pod20,4.1752,7.4329,214,98,3.6842,5.9643
codeco_pod21,8.1777,18.258,215,6,6.5233,18.0009
codeco_pod22,3.9785,11.1532,216,76,3.0523,8.7081
codeco_pod23,7.2714,10.934,224,33,5.199,10.6759
codeco_pod24,8.9666,6.44,234,59,8.299,6.0449
codeco_pod25,9.4782,9.5458,237,10,6.1915,9.3757
codeco_pod26,1.4205,10.573,256,30,0.8046,8.5334
codeco_pod27,13.4658,11.2539,270,89,9.8683,10.9358
codeco_pod28,3.9603,19.3313,282,91,2.8857,12.0029
codeco_pod29,6.8915,2.1547,294,61,5.8855,1.1553
