name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,4.8308,6.9854,0,68,3.8618,6.6184
codeco_pod2,9.2664,7.7737,17,8,6.582,4.5845
codeco_pod3,11.0783,7.7186,24,52,9.8621,7.5275
codeco_pod4,4.6185,10.748,37,93,4.3407,10.1229
codeco_pod5,7.0888,18.3274,40,40,5.6086,14.8049
codeco_pod6,8.7757,4.2868,56,47,7.5946,2.9293
codeco_pod7,5.7357,12.9538,63,12,4.549,8.0982
codeco_pod8,14.5625,18.3701,64,44,9.2197,13.293
codeco_pod9,1.6197,10.2092,76,38,1.4585,6.5766
codeco_pod10,13.8082,9.2982,90,35,8.309,8.5142
codeco_pod11,13.6667,3.0049,91,20,13.3262,2.6906
codeco_pod12,6.7361,14.9325,108,60,5.103,11.981
codeco_pod13,3.5519,4.3141,122,35,3.3045,2.9779
codeco_pod14,5.0664,15.7581,130,72,3.3288,14.551
codeco_pod15,2.4806,10.0008,144,19,1.5757,6.4131
codeco_pod16,14.361,9.1101,164,77,8.2976,5.4522
codeco_pod17,6.4247,11.6185,184,26,6.0089,6.9067
codeco_pod18,14.4707,15.0692,203,70,12.037,11.0976
codeco_pod19,4.7269,19.5986,211,43,3.2253,19.2349
codeco_pod20,12.5632,1.0232,217,73,11.3691,0.9718
codeco_pod21,7.9821,10.9917,219,32,7.3206,6.537
codeco_pod22,10.932,10.1105,229,68,6.6,5.3117
codeco_pod23,13.2351,6.7273,238,65,11.5782,4.9339
codeco_pod24,2.3055,1.494,252,99,1.9181,1.4666
codeco_pod25,11.3551,6.8744,266,12,7.1137,5.192
codeco_pod26,10.7337,18.8493,271,13,7.5507,14.8157
codeco_pod27,12.4559,9.7183,276,70,7.1857,5.6135
codeco_pod28,11.9682,10.8062,290,33,9.566,10.4262
codeco_pod29,4.5711,14.7446,297,89,4.053,7.4421
codeco_pod30,7.3982,7.5469,305,39,5.9288,5.2551
codeco_pod31,10.1949,10.0774,320,36,5.492,8.4503
codeco_pod32,9.9527,15.7608,331,8,9.6286,13.4843
codeco_pod33,6.8046,15.6681,348,60,4.8021,12.1461
codeco_pod34,8.069,4.741,352,10,6.8261,3.8643
codeco_pod35,5.8495,2.7096,367,93,4.4296,2.5013
codeco_pod36,5.0169,12.6833,376,19,4.4796,6.8446
