name,cpu,ram,creation_time,exec_time,real_cpu,real_ram
codeco_pod1,8.4527,3.9655,0,29,6.9406,2.6241
codeco_pod2,4.501,2.0752,6,52,3.7951,1.435
codeco_pod3,4.9747,16.153,19,66,3.1934,15.3453
codeco_pod4,14.6791,18.2969,25,32,10.4,16.7637
codeco_pod5,9.825,10.8153,38,99,6.4391,9.5672
codeco_pod6,3.7617,17.1298,42,41,2.9529,9.3479
codeco_pod7,12.2783,4.1772,44,44,7.5692,3.8731
codeco_pod8,5.1979,13.5203,53,51,3.2472,8.7888
codeco_pod9,10.3031,6.5113,68,87,9.0756,5.6199
codeco_pod10,1.7427,4.1987,80,62,0.9368,3.195
codeco_pod11,1.4625,10.4981,85,81,1.1458,9.5456
codeco_pod12,12.8061,15.222,98,43,10.7406,10.5515
codeco_pod13,10.5003,8.2015,110,11,7.0419,5.5032
codeco_pod14,8.3761,10.3107,116,16,4.4435,8.6788
codeco_pod15,2.593,5.4777,130,76,1.7408,2.8616
codeco_pod16,3.429,10.9852,140,97,2.7312,9.6053
codeco_pod17,10.3182,4.7949,146,31,6.9815,3.9278
codeco_pod18,3.3066,8.0135,165,89,2.0025,6.7926
codeco_pod19,1.8074,19.1673,171,94,1.524,10.2279
codeco_pod20,13.7284,14.8847,173,67,11.0079,14.1407
codeco_pod21,2.9232,5.6455,188,52,2.2898,3.1809
codeco_pod22,14.504,14.5251,205,59,7.4743,7.4611
codeco_pod23,4.7029,3.9676,214,68,3.8621,2.3506
codeco_pod24,6.5975,14.7322,215,68,4.4712,13.2906
codeco_pod25,4.4052,9.7481,223,75,3.1079,8.3753
codeco_pod26,10.1913,9.9742,234,52,9.1368,5.3729
codeco_pod27,13.3034,11.1146,251,15,9.0003,10.2934
codeco_pod28,2.2838,13.1061,257,12,1.5057,10.8285
codeco_pod29,14.3708,6.1357,261,6,9.7264,5.9618
codeco_pod30,8.8151,13.3766,268,62,5.117,9.0331
codeco_pod31,5.6026,13.8934,282,36,5.0175,13.0455
codeco_pod32,3.8817,11.3368,301,84,2.6567,9.9156
codeco_pod33,2.8622,3.6235,304,17,2.2215,2.0482
codeco_pod34,6.0611,19.5056,315,9,4.2893,14.4427
codeco_pod35,4.9803,14.6554,327,41,3.0408,7.5411
codeco_pod36,10.849,6.201,346,33,7.1997,3.343
codeco_pod37,11.5879,1.1376,352,58,11.1891,1.008
codeco_pod38,6.3489,5.1777,371,30,3.4402,4.1231
codeco_pod39,2.4321,7.8533,386,57,1.8508,4.1887
codeco_pod40,2.2386,1.8962,394,30,1.5367,1.2668
codeco_pod41,1.7612,3.2819,414,18,1.2675,2.872
codeco_pod42,10.4047,13.7041,415,57,7.086,9.1329
codeco_pod43,11.531,18.6,421,68,6.6216,9.6978
codeco_pod44,3.823,2.7823,439,70,2.0174,1.802
codeco_pod45,11.6939,16.5454,448,73,10.1284,9.7636
codeco_pod46,13.266,18.8604,451,36,8.3204,10.3304
codeco_pod47,11.704,14.5005,465,27,10.5305,11.0404
codeco_pod48,12.4392,3.5371,468,82,6.838,3.3206
codeco_pod49,1.5468,14.9986,479,95,0.7864,14.0811
codeco_pod50,7.8174,6.5482,487,98,4.6362,4.537
codeco_pod51,4.2918,6.9744,490,76,3.9179,4.7071
codeco_pod52,11.9244,1.9578,500,54,6.7901,1.5779
codeco_pod53,7.1197,3.4448,504,50,5.9017,2.3792
codeco_pod54,12.8048,5.4596,511,30,11.1315,3.4366
codeco_pod55,4.6778,16.1992,512,25,2.915,15.235
codeco_pod56,10.472,2.3342,515,13,9.2545,1.385
codeco_pod57,8.801,16.4754,523,37,6.9152,8.6548
codeco_pod58,4.6241,19.1797,532,56,4.5408,14.0832
codeco_pod59,3.3446,5.3963,538,14,3.2305,4.527
codeco_pod60,1.2004,1.5939,550,63,1.137,1.301
codeco_pod61,7.5256,6.771,559,63,4.1061,4.7669
codeco_pod62,3.3955,13.4488,578,10,2.2664,9.6475
codeco_pod63,11.1668,17.6876,588,40,6.0888,11.5858
codeco_pod64,14.4382,17.0893,593,19,11.8132,14.8325
codeco_pod65,9.7887,10.4147,594,23,7.5921,7.5408
codeco_pod66,13.1235,16.9636,602,28,8.8374,11.6344
codeco_pod67,2.9629,6.7415,617,50,1.9372,4.1269
codeco_pod68,5.3683,12.8128,627,7,4.6597,9.7587
codeco_pod69,8.9539,16.9093,629,93,5.7607,8.6557
codeco_pod70,14.1012,19.0527,632,25,12.0612,15.4747
codeco_pod71,4.044,13.6268,640,45,2.9591,9.7519
codeco_pod72,13.1806,17.3017,644,49,11.4197,11.0266
codeco_pod73,4.7727,12.4494,649,87,4.6367,9.9326
