name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,61,98,9,0.844,0.841,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,3.08;3.59;3.8;1.58;3.7;1.27;4.65;3.54;2.76,0.7985625
codeco_node1,34,47,4,0.736,0.6115,codeco_node5;codeco_node2;codeco_node6;codeco_node4,1.73;2.74;3.36;3.54,0.70471875
codeco_node2,97,90,8,0.988,0.805,codeco_node3;codeco_node1;codeco_master;codeco_node7;codeco_node4;codeco_node9;codeco_node6;codeco_node5,1.79;2.29;4.36;3.83;2.11;3.33;4.45;1.49,0.8643125
codeco_node3,82,182,9,0.9279999999999999,1.219,codeco_node9;codeco_node6;codeco_node2;codeco_node1;codeco_master;codeco_node7;codeco_node5;codeco_node4;codeco_node8,4.74;2.16;1.1;2.43;1.33;4.86;2.14;3.7;2.31,0.9061875
codeco_node4,55,138,5,0.8200000000000001,1.021,codeco_node3;codeco_node2;codeco_node8;codeco_node7;codeco_node6,2.29;2.29;1.61;3.61;4.45,0.8178124999999999
codeco_node5,55,77,2,0.8200000000000001,0.7465,codeco_node6;codeco_node7,4.48;3.72,0.77015625
codeco_node6,86,121,9,0.944,0.9445,codeco_node3;codeco_node2;codeco_node1;codeco_node9;codeco_node8;codeco_master;codeco_node4;codeco_node7;codeco_node5,1.31;3.47;4.58;2.17;2.0;3.4;1.64;3.29;2.45,0.86653125
codeco_node7,92,25,5,0.968,0.5125000000000001,codeco_node4;codeco_node3;codeco_node8;codeco_node6;codeco_node9,2.82;2.46;4.22;4.99;3.29,0.80353125
codeco_node8,58,123,5,0.832,0.9535,codeco_node6;codeco_node7;codeco_node1;codeco_node9;codeco_node2,2.76;1.83;4.67;1.45;1.25,0.81209375
codeco_node9,86,79,5,0.944,0.7555000000000001,codeco_master;codeco_node1;codeco_node8;codeco_node3;codeco_node2,3.95;3.38;4.88;3.43;3.18,0.8337187500000001
