name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,55,127,9,0.8200000000000001,0.9715,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,3.29;4.06;1.72;2.52;4.44;1.13;1.1;3.7;1.17,0.80921875
codeco_node1,90,31,8,0.96,0.5395000000000001,codeco_node5;codeco_node6;codeco_node2;codeco_node4;codeco_master;codeco_node3;codeco_node7;codeco_node8,1.82;3.43;4.01;1.88;1.31;2.1;2.73;2.99,0.80421875
codeco_node2,63,210,8,0.852,1.3450000000000002,codeco_node4;codeco_master;codeco_node6;codeco_node5;codeco_node1;codeco_node9;codeco_node7;codeco_node8,3.41;3.9;3.06;2.47;2.36;2.82;3.79;4.42,0.8900625
codeco_node3,35,122,6,0.74,0.9490000000000001,codeco_node4;codeco_master;codeco_node5;codeco_node1;codeco_node8;codeco_node2,1.96;4.95;2.86;3.2;1.73;4.07,0.7653125
codeco_node4,85,166,7,0.94,1.147,codeco_node1;codeco_master;codeco_node8;codeco_node6;codeco_node5;codeco_node9;codeco_node7,1.88;3.43;4.79;4.66;4.21;1.72;4.18,0.8996875
codeco_node5,41,246,7,0.764,1.5070000000000001,codeco_node8;codeco_node1;codeco_node6;codeco_node3;codeco_node9;codeco_node2;codeco_node7,3.01;1.99;1.46;2.44;3.19;1.62;4.71,0.8741874999999999
codeco_node6,81,218,9,0.924,1.3810000000000002,codeco_node2;codeco_master;codeco_node4;codeco_node1;codeco_node7;codeco_node8;codeco_node5;codeco_node9;codeco_node3,4.53;3.67;2.12;1.47;4.14;3.01;2.96;2.41;3.74,0.9323125
codeco_node7,55,164,8,0.8200000000000001,1.138,codeco_node6;codeco_master;codeco_node5;codeco_node9;codeco_node8;codeco_node1;codeco_node2;codeco_node3,2.78;3.96;2.8;3.47;1.18;2.32;4.45;3.56,0.838125
codeco_node8,74,110,6,0.8959999999999999,0.895,codeco_node5;codeco_node6;codeco_node9;codeco_node2;codeco_master;codeco_node7,2.78;4.17;3.94;3.08;1.11;1.01,0.8339375
codeco_node9,79,160,4,0.916,1.12,codeco_node5;codeco_node8;codeco_node2;codeco_node4,1.11;3.23;2.06;1.55,0.883
