name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,84,143,9,0.9359999999999999,1.0434999999999999,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,4.58;1.81;1.03;1.33;3.16;1.07;1.34;2.99;4.68,0.87971875
codeco_node1,74,197,8,0.8959999999999999,1.2865,codeco_node6;codeco_node5;codeco_node2;codeco_node7;codeco_master;codeco_node3;codeco_node4;codeco_node9,2.68;2.59;3.55;1.37;3.32;1.69;3.44;4.83,0.90190625
codeco_node2,61,160,2,0.844,1.12,codeco_node6;codeco_master,1.22;3.22,0.847
codeco_node3,38,124,7,0.752,0.9580000000000001,codeco_node2;codeco_node8;codeco_node6;codeco_node4;codeco_node1;codeco_node5;codeco_master,3.43;1.6;2.07;4.98;4.99;1.49;3.82,0.772875
codeco_node4,59,40,1,0.836,0.5800000000000001,codeco_node1,4.8,0.74925
codeco_node5,81,146,3,0.924,1.057,codeco_node9;codeco_node1;codeco_node7,1.95;3.44;1.17,0.8760625
codeco_node6,77,236,7,0.908,1.4620000000000002,codeco_node1;codeco_node4;codeco_node9;codeco_node5;codeco_node7;codeco_node3;codeco_master,2.46;3.7;3.36;4.1;1.35;2.39;4.46,0.938375
codeco_node7,77,51,5,0.908,0.6295000000000001,codeco_node3;codeco_node6;codeco_node2;codeco_node8;codeco_master,3.34;2.81;2.61;4.94;3.3,0.79384375
codeco_node8,67,59,4,0.868,0.6655,codeco_master;codeco_node6;codeco_node9;codeco_node3,1.07;4.2;2.31;2.73,0.78009375
codeco_node9,63,23,8,0.852,0.5035000000000001,codeco_node2;codeco_master;codeco_node1;codeco_node3;codeco_node7;codeco_node4;codeco_node5;codeco_node8,1.85;2.78;2.3;1.36;3.52;1.41;4.14;1.1,0.74396875
