name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,72,133,9,0.8879999999999999,0.9985,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,2.14;4.89;3.0;4.76;2.57;4.41;2.92;3.97;2.62,0.84790625
codeco_node1,33,221,3,0.732,1.3945,codeco_node2;codeco_node5;codeco_master,3.66;2.47;4.53,0.8386562499999999
codeco_node2,59,178,8,0.836,1.201,codeco_node8;codeco_node9;codeco_node6;codeco_node4;codeco_node1;codeco_master;codeco_node5;codeco_node7,4.1;3.95;1.35;3.66;1.43;1.65;4.36;2.48,0.8570625
codeco_node3,52,156,7,0.808,1.102,codeco_node7;codeco_master;codeco_node6;codeco_node4;codeco_node2;codeco_node1;codeco_node5,3.93;2.88;2.23;4.39;3.46;3.31;3.59,0.8258749999999999
codeco_node4,53,236,2,0.812,1.4620000000000002,codeco_node6;codeco_master,1.67;1.91,0.8903749999999999
codeco_node5,41,220,1,0.764,1.3900000000000001,codeco_master,1.05,0.8538749999999999
codeco_node6,100,220,9,1.0,1.3900000000000001,codeco_master;codeco_node7;codeco_node5;codeco_node1;codeco_node3;codeco_node9;codeco_node2;codeco_node4;codeco_node8,1.8;4.68;3.19;2.62;2.38;4.39;2.41;4.64;3.64,0.971875
codeco_node7,62,24,8,0.848,0.508,codeco_node9;codeco_node3;codeco_node2;codeco_node1;codeco_node5;codeco_node8;codeco_node4;codeco_master,3.44;3.92;2.53;4.43;4.82;4.75;3.05;1.52,0.74275
codeco_node8,39,37,7,0.756,0.5665,codeco_node9;codeco_node1;codeco_node7;codeco_node5;codeco_node2;codeco_master;codeco_node4,4.11;1.82;4.8;2.92;2.46;3.22;4.76,0.70690625
codeco_node9,32,131,6,0.728,0.9895,codeco_node8;codeco_node6;codeco_node4;codeco_node5;codeco_node1;codeco_node2,2.65;4.25;2.66;1.01;3.16;4.15,0.7663437499999999
