name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,40,45,9,0.76,0.6025,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,2.96;4.7;3.0;4.33;2.42;4.53;4.6;2.84;3.27,0.7151562499999999
codeco_node1,38,22,1,0.752,0.499,codeco_node2,4.68,0.6931875
codeco_node2,35,202,2,0.74,1.3090000000000002,codeco_node6;codeco_node3,3.9;2.95,0.8278125
codeco_node3,32,111,5,0.728,0.8995000000000001,codeco_node5;codeco_node4;codeco_node9;codeco_master;codeco_node7,1.89;2.3;3.8;1.66;4.63,0.7507187499999999
codeco_node4,62,48,3,0.848,0.616,codeco_node7;codeco_node9;codeco_node8,2.07;4.65;2.24,0.7615
codeco_node5,50,204,9,0.8,1.318,codeco_node6;codeco_node8;codeco_node4;codeco_node2;codeco_master;codeco_node7;codeco_node1;codeco_node9;codeco_node3,4.83;3.82;3.02;3.07;3.61;3.35;2.25;1.83;3.05,0.859375
codeco_node6,53,149,7,0.812,1.0705,codeco_node7;codeco_node2;codeco_node4;codeco_node1;codeco_node5;codeco_node9;codeco_master,4.74;3.49;1.3;4.28;3.9;4.63;1.77,0.82240625
codeco_node7,30,114,3,0.72,0.913,codeco_node5;codeco_node2;codeco_node1,3.98;1.24;3.61,0.7490625
codeco_node8,35,219,9,0.74,1.3855,codeco_node9;codeco_node5;codeco_node4;codeco_node7;codeco_node6;codeco_node1;codeco_node3;codeco_node2;codeco_master,2.09;1.91;4.5;1.43;3.09;4.42;1.98;1.84;4.52,0.84109375
codeco_node9,61,54,6,0.844,0.643,codeco_node5;codeco_node7;codeco_node1;codeco_node3;codeco_node8;codeco_node6,2.69;3.87;1.13;2.45;1.69;3.69,0.7641875
