name,max_CPU,max_RAM,degree,cpu_potency,ram_potency,connections,latency,energy_connections
codeco_master,96,114,9,0.984,0.913,codeco_node1;codeco_node2;codeco_node3;codeco_node4;codeco_node5;codeco_node6;codeco_node7;codeco_node8;codeco_node9,3.3;3.14;2.63;1.93;2.35;4.66;1.11;2.12;3.42,0.8810625000000001
codeco_node1,43,174,4,0.772,1.183,codeco_node9;codeco_node3;codeco_node8;codeco_node5,3.78;3.79;2.31;3.17,0.8219375
codeco_node2,94,85,8,0.976,0.7825,codeco_node1;codeco_master;codeco_node7;codeco_node4;codeco_node3;codeco_node9;codeco_node8;codeco_node6,3.29;1.42;3.62;3.53;4.95;2.07;1.5;2.93,0.85440625
codeco_node3,85,178,9,0.94,1.201,codeco_node9;codeco_node8;codeco_node4;codeco_node6;codeco_node1;codeco_node5;codeco_node2;codeco_master;codeco_node7,3.56;2.93;2.38;1.27;4.59;1.08;2.71;2.66;1.48,0.9090625
codeco_node4,60,255,1,0.84,1.5474999999999999,codeco_node1,3.42,0.91921875
codeco_node5,68,127,3,0.872,0.9715,codeco_master;codeco_node4;codeco_node7,4.05;2.51;3.35,0.83521875
codeco_node6,63,149,1,0.852,1.0705,codeco_node4,3.2,0.84240625
codeco_node7,68,156,8,0.872,1.102,codeco_node6;codeco_node9;codeco_node3;codeco_node5;codeco_node4;codeco_node8;codeco_master;codeco_node1,4.69;2.12;1.94;1.14;1.03;1.43;3.14;4.8,0.8578749999999999
codeco_node8,73,18,2,0.8919999999999999,0.48100000000000004,codeco_master;codeco_node2,4.89;2.17,0.7600625
codeco_node9,83,164,8,0.9319999999999999,1.138,codeco_node3;codeco_node4;codeco_node5;codeco_node8;codeco_node2;codeco_node6;codeco_node7;codeco_node1,2.05;3.76;4.92;2.36;2.44;1.55;4.45;2.51,0.8941250000000001
